Project,Src,#,Functionality,Main API
Gate-Core,gate.annotation.AnnotationImpl,6,DataStructure,
Gate-Core,gate.corpora.DocumentStaxUtils,4,Parser,FALSE
opennlp,opennlp.tools.parser.Parse,7,Parser,TRUE
CogComp-NLP,edu.illinois.cs.cogcomp.quant.driver.Quantifier,14,Linguistic Labeling,
CogComp-NLP,edu.illinois.cs.cogcomp.core.algorithms.TreeGrep,11,ML Algorithms,
CogComp-NLP,edu.illinois.cs.cogcomp.llm.comparators.LlmStringComparator,12,Linguistic Labeling,
CoreNLP,edu.stanford.nlp.pipeline.RelationExtractorAnnotator,30,Information Extraction,
opennlp,opennlp.tools.langdetect.LanguageDetectorME,11,Topic Modelling,
opennlp,opennlp.tools.formats.Conll03NameSampleStream,10,Parser,
opennlp,opennlp.tools.chunker.ChunkerME,9,Segmentation,
opennlp,opennlp.tools.languagemodel.NGramLanguageModel,12,Topic Modelling,
opennlp,opennlp.tools.postag.POSTaggerME,15,Linguistic Labeling,
opennlp,opennlp.tools.sentdetect.SentenceDetectorME,16,Segmentation,
Mallet,cc.mallet.topics.TopicalNGrams,14,Topic Modelling,FALSE
opennlp,opennlp.tools.ngram.NGramModel,8,Topic Modelling,
